Title,City,Descriptions
Desarrolladores Salesforce Ssr. Sr,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En nuestra empresa nos encontramos en la búsqueda de  Desarrolladores Salesforce Ssr. Sr para sumarse a un equipo de trabajo para importante proyecto en Brasil. Las tareas implican trabajo remoto.Los postulantes deben ser egresados o estudiantes de las carreras de Ingeniería, Informática o afines. Tienen que poseer experiencia mínima de  3 años para sumarse a un equipo de trabajo.La función del puesto será de :Desarrollo, integración, configuración y diseño de plataforma CRM Migración de datos a otro sistema, LegacyBrindar asistencia y asesoramiento acerca de aplicaciones basadas en la nubeGestión y desarrollo de aplicaciones APIBrindar asistencia, planificar y asesorar acerca de la seguridad y personalizaciónLos Skills son:Salesforce Sales y ServicesMetodologías AgilesAPILegacyMarketing Cloud y Services CloudIngles intermedio a avanzadoEn caso de interesarte por favor no dudes en enviarnos tu CV con foto y remuneración en mano pretendida para un cambio laboral"

Programador DataStage Ssr. Sr,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En nuestra empresa nos encontramos en la búsqueda de Programador Datastage Ssr. Sr. para sumarse a un equipo de trabajo para importante proyecto. Las tareas implican trabajo remoto.Los postulantes deben ser egresados o estudiantes de las carreras de Ingeniería, Informática o afines. Tienen que poseer experiencia mínima de 4 años para sumarse a un equipo de trabajo.Skills tecnológicos:  DataStage- ETL-Linux- Unix- Datawarehouse- Oracle- Base de datosInglés intermedio a avanzado*Skills deseados: MicrostategyEn caso de interesarte por favor no dudes en enviarnos tu CV con foto y remuneración en mano pretendida para un cambio laboral"

Analista Desarrollador Java Ssr. Sr,"Martinez, Buenos Aires","En nuestra empresa nos encontramos en la búsqueda de 2 Analistas Desarrolladores Java Sr /Ssr. para sumarse a un equipo de trabajo para importante Empresa Entidad Bancaria de la zona de Martinez. Los postulantes deben ser egresados o estudiantes de las carreras de Ingeniería, Informática o afines. Tienen que poseer experiencia mínima de 3 años para sumarse a un equipo de trabajo. CONTRATACIÓN Octubre- Noviembre- Diciembre posibilidad de renovación 2021  El proyecto es para migrar un sistema desarrollado en Java Struts 1 a Java SpringSus responsabilidades serán: . Capacidad para realizar la resolución de problemas y la resolución de problemas• Migración de Struts a Spring• Comprender y cambiar las Especificaciones Funcionales• Realizar pruebas en entornos SIT y DEV• Subir código en el repositorio, promoverlo a deV, SIT y / o entorno UAT  Conocimientos requeridos:* Oracle PL/SQL and SQL (deseado)* Java/J2EE (Exclusive knowledge in Struts/Spring and technology migration)* Linux* Git* Jira*  Inglés Avanzado En caso de interesarte por favor no dudes en enviarnos tu CV con foto y remuneración en mano pretendida para un cambio laboral."

Programador C/C++ (Zona Tortuguitas),"Tortuguitas, Buenos Aires","En Experis estamos en la búsqueda de un Programador Jr con experiencia no menor a 1 año en posiciones similares, para trabajar en forma directa en uno de nuestros clientes en Zona Norte - Tortuguitas Responsabilidades: Desarrollos sobre el ERP TOTVS (Mantenimiento y mejoras) el cual trabaja con lenguaje propio pero aplica a cualquier lenguaje Orientado a Objetos (C-C++-Python, etc) Conocimientos requeridos. Título: Graduado o cursando Ing./Lic. en Sistemas de Información, o carreras afines.· Conocimientos avanzados de Programación Orientada a Objetos. Experiencia en áreas/equipos de desarrollo de sistemas. Bases de Datos : SQL o My SQL. Ganas de desarrollarse profesionalmente en un marco de constante crecimiento Beneficios:Osde 210 titular y Grupo familiarRevisión salarial acorde a CCT Federación Grafica Bonaerense Comedor en PlantaCoffee PointCanasta de Frutas 2 veces por semanaCapacitaciones a medida (no externas)Lugar de trabajo: Tortuguitas y Home Office"

Analista Modelador de Datos,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En Experis, estamos en búsqueda de un Analista Modelador de Datos Jr.-SSrLa posición es para desarrollarse en un equipo BI para poblar el DW corporativo y la explotación integral de toda la información de la empresa.Requisitos:Modelador de datos, estudiante o graduado en Ingeniería en Sistemas o Ciencias de la Computación y afines.1 año minino de experiencia concreta en Áreas de BI-Datawarehouse y modelado de datos Conocimientos avanzados de SQL.Conocimiento de modelado de datos (DER, Estrella, Copo de nieve)Base de datos: Oracle, TeradataHerramientas BI: PowerBI o Tableau (preferentemente)Deseable: Hadoop/ClouderaHoy 100% remoto. Post pandemia Home 3x2 zona microcentroSoft Skill: Trabajo en equipo - Análisis de Requerimiento y solución - Orientación al Cliente - Buena capacidad para la Autogestión, Estimación y Planificación - Metodología de trabajo y DocumentaciónBeneficios Experis:-Plataforma de descuentos Cuponstar-Descuento 20% en instituto de idiomas CUI-Descuento del 20% en Digital House-Descuento del 15% en Educación IT-Descuento del 75% en Open English-Sorteos a lo largo del año-Regalo por nacimiento de un hijo, graduación, casamiento"

